URL,Image,Price,Location,Type,Details
https://www.yad2.co.il/realestate/item/1ahjkc2d?opened-from=feed&component-type=main_feed&spot=standard&location=11,https://img.yad2.co.il/Pic/202410/27/2_1/o/y2_1pa_010487_20241027235437.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/it2jihsn?opened-from=feed&component-type=main_feed&spot=standard&location=12,https://img.yad2.co.il/Pic/202411/04/2_1/o/y2_1_01355_20241104163745.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/m39lbco0?opened-from=feed&component-type=main_feed&spot=standard&location=13,https://img.yad2.co.il/Pic/202410/27/2_1/o/y2_1pa_010759_20241027164233.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/a1o6mr6f?opened-from=feed&component-type=main_feed&spot=standard&location=14,https://img.yad2.co.il/Pic/202411/05/2_1/o/y2_1pa_010706_20241105213341.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/hcp5edrw?opened-from=feed&component-type=main_feed&spot=standard&location=15,https://img.yad2.co.il/Pic/202411/07/2_1/o/y2_1pa_010004_20241107231847.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/46cg629j?opened-from=feed&component-type=main_feed&spot=standard&location=16,https://img.yad2.co.il/Pic/202410/11/2_1/o/y2_1pa_010857_20241011181849.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/cpzg3e05?opened-from=feed&component-type=main_feed&spot=standard&location=17,https://img.yad2.co.il/Pic/202410/26/2_1/o/y2_1pa_010553_20241026152838.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/iw6obydi?opened-from=feed&component-type=main_feed&spot=standard&location=18,https://img.yad2.co.il/Pic/202411/07/2_1/o/y2_1_09319_20241107151158.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/pcb9rlfy?opened-from=feed&component-type=main_feed&spot=standard&location=19,https://img.yad2.co.il/Pic/202407/24/2_1/o/y2_1_09244_20240724203551.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/wjs5f417?opened-from=feed&component-type=main_feed&spot=standard&location=20,https://img.yad2.co.il/Pic/202409/14/2_1/o/y2_1pa_010578_20240914192238.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/81ua72oq?opened-from=feed&component-type=main_feed&spot=standard&location=21,https://img.yad2.co.il/Pic/202411/08/2_5/o/y2_1pa_010027_20241108093720.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/5986jy6n?opened-from=feed&component-type=main_feed&spot=standard&location=22,https://img.yad2.co.il/Pic/202411/07/2_5/o/y2_1pa_010347_20241107094606.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/pw68pvzj?opened-from=feed&component-type=main_feed&spot=standard&location=23,https://img.yad2.co.il/Pic/202409/26/2_5/o/y2_1pa_010399_20240926104552.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/gym92ydg?opened-from=feed&component-type=main_feed&spot=standard&location=24,https://img.yad2.co.il/Pic/202411/04/2_5/o/y2_1pa_010403_20241104185508.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/fdbuccv0?opened-from=feed&component-type=main_feed&spot=standard&location=25,https://img.yad2.co.il/Pic/202409/23/2_5/o/y2_3_EvEEYwN4On_20240923.jpg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/sjkjlnqc?opened-from=feed&component-type=main_feed&spot=standard&location=26,https://img.yad2.co.il/Pic/202407/23/2_5/o/y2_1_nP3yg6MMv5_20240723.png?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/4zdc44e4?opened-from=feed&component-type=main_feed&spot=standard&location=27,https://img.yad2.co.il/Pic/202410/23/2_5/o/y2_15_S8pGtKdkgy_20241023.jpg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/kq9lreqh?opened-from=feed&component-type=main_feed&spot=standard&location=28,https://img.yad2.co.il/Pic/202308/21/2_5/o/y2_1_VACzyneDT9_20230821.jpg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/qsqmd13w?opened-from=feed&component-type=main_feed&spot=standard&location=29,https://img.yad2.co.il/Pic/202409/28/2_5/o/y2_1pa_010535_20240928142459.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/xks1slg7?opened-from=feed&component-type=main_feed&spot=standard&location=30,https://img.yad2.co.il/Pic/202410/10/2_5/o/y2_1pa_010617_20241010091107.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/rh0q2s9u?opened-from=feed&component-type=main_feed&spot=standard&location=31,https://img.yad2.co.il/Pic/202403/26/2_5/o/y2_1pa_010937_20240326210715.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/kpe3yly8?opened-from=feed&component-type=main_feed&spot=standard&location=32,https://img.yad2.co.il/Pic/202408/06/2_5/o/y2_3_gu_QdE5_hi_20240806.jpg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/j6a5zhw6?opened-from=feed&component-type=main_feed&spot=standard&location=33,https://img.yad2.co.il/Pic/202407/17/2_5/o/y2_1_NuDn0UjL1K_20240717.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/go1wia3i?opened-from=feed&component-type=main_feed&spot=standard&location=34,https://img.yad2.co.il/Pic/202409/27/2_5/o/y2_1_GK63V1OzOO_20240927.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/fljn0tpb?opened-from=feed&component-type=main_feed&spot=standard&location=35,https://img.yad2.co.il/Pic/202406/19/2_5/o/y2_1pa_010555_20240619151557.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/ygd8dzqq?opened-from=feed&component-type=main_feed&spot=standard&location=36,https://img.yad2.co.il/Pic/202408/22/2_5/o/y2_1_997893_20240822.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/m3671q32?opened-from=feed&component-type=main_feed&spot=standard&location=37,https://img.yad2.co.il/Pic/202410/31/2_5/o/y2_1pa_010980_20241031094510.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/92l3o5n5?opened-from=feed&component-type=main_feed&spot=standard&location=38,https://img.yad2.co.il/Pic/202408/22/2_5/o/y2_1pa_010503_20240822105807.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/fegf8w41?opened-from=feed&component-type=main_feed&spot=standard&location=39,https://img.yad2.co.il/Pic/202403/12/2_5/o/y2_1pa_010072_20240312175212.jpeg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.il/realestate/item/9f43cb5x?opened-from=feed&component-type=main_feed&spot=standard&location=40,https://img.yad2.co.il/Pic/202410/14/2_5/o/y2_4_3c5BWxabS1_20241014.jpg?w=3840&h=3840&c=9,N/A,N/A,N/A,N/A
https://www.yad2.co.ilhttps://www.yad2.co.il/item/2_98_8839?site=_inres_x1_l_15303_o_ws_ListingPro_18724,https://pics.yad2.co.il/Pics/2023/09/20230903121300990-s.jpg,N/A,N/A,N/A,N/A
https://www.yad2.co.ilhttps://www.yad2.co.il/item/2_98_7852?site=_inres_x1_l_15304_o_ws_ListingPro_23419,https://pics.yad2.co.il/Pics/2023/01/20230108164149948-s.jpg,N/A,N/A,N/A,N/A
https://www.yad2.co.ilhttps://www.yad2.co.il/item/2_98_8478?site=_inres_x1_l_15305_o_ws_ListingPro_23550,https://pics.yad2.co.il/Pics/2023/06/20230619111604743-s.jpg,N/A,N/A,N/A,N/A
https://www.yad2.co.ilhttps://www.yad2.co.il/item/2_98_9838?site=_inres_x1_l_15306_o_ws_ListingPro_22984,https://pics.yad2.co.il/Pics/2024/05/20240509140351496-s.jpg,N/A,N/A,N/A,N/A
https://www.yad2.co.ilhttps://www.yad2.co.il/item/2_98_8313?site=_inres_x1_l_16307_o_ws_ListingBasic_23083,https://pics.yad2.co.il/Pics/2023/05/20230502144314147-s.jpg,N/A,N/A,N/A,N/A
https://www.yad2.co.ilhttps://www.yad2.co.il/item/2_98_9646?site=_inres_x1_l_16308_o_ws_ListingBasic_19894,https://pics.yad2.co.il/Pics/2024/10/20241006110509113-s.jpg,N/A,N/A,N/A,N/A
https://www.yad2.co.ilhttps://www.yad2.co.il/item/2_98_8921?site=_inres_x1_l_16309_o_ws_ListingBasic_12321,https://pics.yad2.co.il/Pics/2024/03/20240320103915708-s.jpg,N/A,N/A,N/A,N/A
https://www.yad2.co.ilhttps://www.yad2.co.il/item/2_98_10870?site=_inres_x1_l_16310_o_ws_ListingBasic_24027,https://pics.yad2.co.il/Pics/2024/10/20241020093744887-s.jpg,N/A,N/A,N/A,N/A
